column,dtype,n_nonnull,n_unique,example
Federal Reg. Exemption - No,str,5576,3, 
State or Local Permit?,str,5576,3,Unknown
State or Local Permit,str,5576,64,Unknown
ADS Equipped?,str,5576,3,No
Source - Other,str,5576,3, 
Source - Other Text,str,5576,77,Unknown
Notice Received Date,str,5576,50,JUL-2022
Roadway Surface,str,5576,5,Dry
Roadway Description,str,5576,6,No Unusual Conditions
Posted Speed Limit (MPH),float64,5576,24,45.0
Posted Speed Limit - Unknown,str,5576,3, 
Lighting,str,5576,7,Dark - Lighted
Weather - Other,str,5576,3, 
Weather - Other Text,str,5576,14,Unknown
Property Damage?,str,5576,3,Yes
CP Any Air Bags Deployed?,str,5576,4,Unknown
CP Was Vehicle Towed?,str,5576,4,Unknown
Law Enforcement Investigating?,str,5576,3,Unknown
Rep Ent Or Mfr Investigating?,str,5576,3,Unknown
Investigating Officer Name,str,335,1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Inv. Officer Name - Unknown,str,5576,3,Y
Investigating Officer Phone,str,114,1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Inv. Officer Phone - Unknown,str,5576,3,Y
Investigating Officer Email,str,41,1,[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]
Inv. Officer Email - Unknown,str,5576,3,Y
injury_rank,float64,2680,5,0.0
airbag_flag,float64,5462,2,0.0
towed_flag,float64,2910,2,1.0
injury_flag,float64,2680,2,0.0
severe,int64,5576,2,1
severity_known,int64,5576,2,1
Report Month__is_missing,int64,5576,2,1
Report Year__is_missing,int64,5576,2,1
VIN Decoded__is_missing,int64,5576,2,0
Make - Unknown__is_missing,int64,5576,2,1
Model__is_missing,int64,5576,2,0
Model Year__is_missing,int64,5576,2,0
Driver / Operator Type__is_missing,int64,5576,2,0
Automation Feature Version__is_missing,int64,5576,2,1
Automation Feature Version CBI__is_missing,int64,5576,2,1
Engagement Status__is_missing,int64,5576,2,1
Operating Entity__is_missing,int64,5576,2,1
Source - Internal Process Review__is_missing,int64,5576,2,1
Source - NHTSA VOQ__is_missing,int64,5576,2,1
Source - Other - See Narrative__is_missing,int64,5576,2,1
Source - Other Entity__is_missing,int64,5576,2,1
Source - State or Other Agency__is_missing,int64,5576,2,1
