model,precision,recall,f1,roc_auc,fn_rate,TP,FP,FN,TN,feature_set,threshold,pos_weight,C,n_estimators,max_depth,min_samples_leaf
"LR baseline (narrative, t=0.48)",0.5372340425531915,0.7137809187279152,0.6130500758725341,0.6079145191420404,0.2862190812720848,202,174,81,140,,,,,,,
LR (precision-tuned),0.5361930294906166,0.7067137809187279,0.6097560975609756,0.6040883617294232,0.29328621908127206,200,173,83,141,narrative_flags,0.48,balanced,3.0,,,
RF (ADS-only),0.8038585209003215,0.8833922261484098,0.8417508417508418,0.8933064752087506,0.1166077738515901,250,61,33,253,narrative+tabular,0.48,,,300.0,10,1.0
