model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate,threshold,automation_level,algorithm,feature_set,split_type
LR [ADS],0.4989561586638831,0.8445229681978799,0.6272965879265092,0.5313969975917715,239,240,44,74,0.15547703180212014,0.36,ADS,LR,narrative+tabular,temporal
RF [ADS],0.8038585209003215,0.8833922261484098,0.8417508417508417,0.8933064752087506,250,61,33,253,0.1166077738515901,0.48,ADS,RF,narrative+tabular,temporal
XGB [ADS],0.8312101910828026,0.9222614840989399,0.8743718592964824,0.9207647813463572,261,53,22,261,0.07773851590106007,0.46,ADS,XGB,narrative+tabular,temporal
LR [L2],0.9853723404255319,0.9673629242819843,0.9762845849802372,0.8755934013766913,741,11,25,11,0.03263707571801567,0.2,L2,LR,tabular,temporal
RF [L2],0.9720812182741116,1.0,0.9858429858429858,0.8355684785188703,766,22,0,0,0.0,0.2,L2,RF,tabular,temporal
XGB [L2],0.9720812182741116,1.0,0.9858429858429858,0.8498397816282933,766,22,0,0,0.0,0.2,L2,XGB,tabular,temporal
