model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate,threshold,automation_level,algorithm,feature_set,split_type
RF [ADS],0.8038585209003215,0.8833922261484098,0.8417508417508417,0.8933064752087506,250,61,33,253,0.1166077738515901,0.48,ADS,RF,narrative+tabular,temporal
LR [L2],0.9853723404255319,0.9673629242819843,0.9762845849802372,0.8755934013766913,741,11,25,11,0.03263707571801567,0.2,L2,LR,tabular,temporal
