model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate
ADS — tabular only,0.49743589743589745,0.6855123674911661,0.5765230312035661,0.5000281335103869,194,196,89,118,0.31448763250883394
ADS — tabular + narrative,0.4943181818181818,0.6148409893992933,0.5480314960629922,0.5300578424973554,174,178,109,136,0.38515901060070673
ADS — narrative flags only,0.5483870967741935,0.6607773851590106,0.5993589743589743,0.6079145191420404,187,154,96,160,0.3392226148409894
