cluster,n_incidents,share_pct,severe_rate_pct,pct_ADS,pct_L2,top_crash_with,top_roadway_type,top_sv_movement,mean_speed_mph
0,1385,24.87874977546255,75.74007220216606,43.104693140794225,56.895306859205775,Unknown,Street,Proceeding Straight,23.967509025270758
1,2670,47.96119992814801,98.08988764044943,0.5243445692883896,99.47565543071161,Unknown,Highway / Freeway,Proceeding Straight,41.81610486891386
2,1512,27.160050296389436,26.124338624338623,99.53703703703704,0.4629629629629629,Passenger Car,Street,Stopped,6.058201058201059
