k,silhouette,calinski_harabasz,davies_bouldin
2,0.13524057710199502,337.34831306629457,3.4989321078204165
3,0.0321424612168944,261.3563065438031,2.9492196572618
4,0.0475098221731067,226.0871133037268,2.765541869133202
5,0.051872213621976686,209.29219665544312,2.30180658421091
6,0.051872213621976686,200.7482186128295,1.9282424905352757
7,0.0593668636319679,196.2862779440844,1.707808902659019
8,0.041079880115500164,191.3385576652439,1.953076126977448
9,0.05440062538021912,186.8362918172247,2.2234663158194925
10,0.07026512221629698,179.89023047642576,2.5736692732864612
