incident_key,cluster,pca_x,pca_y,severe,automation_level
0004894d4bb6897,0,-1.1778622388180033,1.5247266376051898,1,L2
0004c97b78f8dcb,1,3.839295467380729,1.7822424672462878,0,ADS
000c5f5ebb15852,0,-3.0567866762289246,0.7326899109710222,1,L2
00103fcbcf2e0dc,0,-2.9414279344279115,1.3304507970488644,1,L2
00193c057d09981,0,-1.8924139067647316,1.3717051098966202,1,L2
002f2fcba7cfe16,0,-0.9516384045108793,1.5171879367352803,1,L2
00363b910ec53c3,0,-2.1366896755672653,1.5903597185919718,1,L2
0039757e8e9088d,0,-1.6642214659567993,-4.123071388393076,1,L2
003b4cc4bc65ea3,0,-1.6712658757777594,-3.8998346354118105,1,L2
005df94ebd26d4e,1,2.7854202404185915,1.7322259068261443,1,ADS
006c46917a2f617,0,-3.7483288129159695,1.1787338860925314,1,L2
0094d46307334a0,1,3.6964405512548475,1.5838752403896406,0,ADS
00a12e9a3ecb589,1,-0.039970234091569995,-3.2541696676224583,1,L2
00c66c34c4474a1,1,3.8793361593541884,1.7430809163193663,1,ADS
00c83c31ec18572,1,0.3864399173195598,-3.39249171647092,0,L2
00cd6c799062fc0,0,-1.6422248550040615,1.6156623476267717,1,L2
00cf76dca3bcbce,1,3.7462144858009117,1.9830009778555966,0,ADS
00d37801ad28034,0,-3.380471103758723,0.3019254929095944,1,L2
00e6302320a1a7a,0,-3.8324095572534533,1.4374497554215666,1,L2
00e99ccfa906468,0,-0.9803791646064268,1.78180137622334,1,L2
00f2968c1686228,0,-3.3836979429799894,2.040516998696927,1,L2
00f3a9cace075f7,1,2.3393945749459637,1.6847858712044639,1,ADS
010fdfbd6af2798,1,2.4448166804383504,2.1217143586322873,0,ADS
011b230dd3f2ae9,1,1.6245063992293818,1.6619396086404308,1,ADS
012fba9b1f4c28c,1,2.7308334436647566,1.6089447397177503,0,ADS
01545722d4762cd,0,-2.748854288926359,-5.159443489258925,1,L2
0154ad8a3896f31,0,2.903279531373399,1.9128176384653,0,ADS
0155fdb6d17d867,0,-0.4871527705860778,1.8248653280835565,1,L2
015a78523465889,1,4.486087755635787,-3.6909635641455045,1,ADS
0162ce30f4157e1,0,-3.2877886374713317,0.7446065562404961,1,L2
0171d33e85df5db,1,2.7406137570411198,0.9409816393594598,0,ADS
01738abfa0110b0,0,-2.575602817994554,-5.168380973211031,1,L2
0189935a3c5671c,1,2.838320248150891,1.932273576506255,1,ADS
01a0825772194e1,1,3.7580875207153186,1.5226581659268459,0,ADS
01b8273b40d15a0,0,-3.9034355896743684,0.9936515065966517,1,L2
01cda0dbb43792c,0,-2.79216715665931,-5.157209118270899,1,L2
01d5c997ce294e6,0,-3.416565160202848,0.30378746873294976,1,L2
01d6cd8be0b5d87,0,-2.1659913885174014,1.5718347844989902,1,L2
01fcea472941290,1,2.854086495682754,-4.195870550221496,0,ADS
01fe1096ad10e2c,0,1.9522344826882998,1.590374528138157,0,ADS
0201737786b957f,0,-3.539284952112877,0.31011818653235784,1,L2
0204a6859d72dee,1,0.2255108205765152,-4.18254046823261,1,L2
0229e852164543d,0,3.834073012767175,-3.5619344214479445,0,ADS
0249e2bec0b13e4,0,-1.2346470383047767,1.4513516232722083,1,L2
024e0e877f8e0b4,1,2.255192109584046,-3.5493617344960824,0,ADS
02553594f851c1b,0,-0.9931044165051083,1.1415039309954407,1,L2
02585ccad97a569,0,-3.433690012729107,0.6540043404218894,1,L2
025e89c1283db48,0,-3.296543190858991,1.4433302250916094,1,L2
026455ffa911355,0,-3.2171256740643512,0.6428324854817573,1,L2
0276a086a35ee20,1,2.619917438305429,-4.148561802989544,0,ADS
027edaee5964dad,1,2.8192403643631336,2.042104015023173,0,ADS
02919351a57908a,1,-0.09019846859902361,-4.166681797722075,1,L2
02948c883897c41,0,-3.481921518676129,-4.430814293578866,1,L2
02a7bf2c7443cbc,0,-3.8685036136975794,1.4393117312449217,1,L2
02c259718abc37e,0,1.2115736503279253,-3.7077226625418103,1,L2
02cd7470daf14dd,0,-1.527028046550023,1.351262745186511,1,L2
02d673d4ba78e25,1,0.025363473714921758,1.7940003575375025,1,L2
02e58c8fa798eb0,0,-2.913614653116258,0.527393556516478,1,L2
02f03480ef1d448,1,3.978345072934703,1.7746894200707821,0,ADS
0320b157b27f6ed,1,0.09304575590215591,-4.105531575674517,1,L2
03370d8f4246bc2,1,-0.9199129497790433,1.387253960452691,1,L2
0338d6f744e8109,0,-2.211714317423796,-3.5912008649294753,1,L2
0341997aa580828,0,1.9756772746665054,-3.755502462796192,0,ADS
0348df51e94570a,1,3.7292379898898824,1.731157378948047,1,ADS
034925e7c1a3566,1,3.8793361593541884,1.7430809163193663,1,ADS
0368ea25cf26444,1,4.705239911047613,-3.7743990312164017,1,ADS
036be89379840a4,1,2.380072966844408,1.6595574891189708,1,ADS
03781d2c09e781b,0,3.7423530179685556,-3.7000946534373753,0,ADS
03859728a1209cf,1,-1.1540941939223406,-3.9201864524144105,1,L2
03a412f6f32430b,1,-2.5449117888934576,1.3242014193305796,1,L2
03ad388e6676c05,1,2.6610618142901754,2.1885763554077,0,ADS
03b95c1cf4c1985,1,3.8793361593541884,1.7430809163193663,1,ADS
03c08a8e51022ec,0,-3.3949087263363733,0.30267028323893647,1,L2
03cfb0ba12a4966,0,-3.222819335871905,0.7412549997584564,1,L2
03d5dd9340f2d40,1,3.785149780966811,1.6083727057138424,0,ADS
03d727d79ba32ec,0,-3.5714126466258094,1.0451078661820243,1,L2
03e4089907b1f94,0,-1.9933796226634972,1.0273323778979884,1,L2
03ed4804965936e,0,-0.9779161619823771,1.8064417950558547,1,L2
03eeedd7297dbee,0,-3.2171256740643512,0.6428324854817573,1,L2
03f712880e4d552,1,3.780823637059489,1.6499980692851484,0,ADS
0412f8d2d2b32e3,1,-0.07896963070566068,-4.141219271841782,1,L2
04153ecd53fcdd2,0,-3.416565160202848,0.30378746873294976,1,L2
041b2eff8e017c2,0,-3.19062191796143,0.7479805169369711,1,L2
0440e1b9933a311,1,3.7973395598410447,1.8079450784058007,0,ADS
0444203bbe1ac87,1,1.0745539353952949,-4.0698202789544125,1,ADS
