k,inertia,silhouette,calinski_harabasz,davies_bouldin
2,468000.212663513,0.507617107043581,458.9551793259107,2.9545474784108072
3,444691.3871922832,0.6395687030873259,387.2830007310185,2.6966477579335586
4,432966.13136771036,0.458153209566638,315.3507033814231,2.515469830653395
5,421608.9725214136,0.43748213673761827,280.2972894581181,2.6408449280908624
6,412868.25365864614,0.48350283393819277,252.4900152944242,2.8105923766272967
7,406171.8654521222,0.4430037394803477,229.11637313294636,2.813198928164653
8,394271.4939752351,0.14157414675738528,226.24638008987557,1.8464783440235568
9,390463.22432974936,0.2463971574249221,206.63646566307173,2.185774161974118
10,384209.9240937346,0.196652203702047,196.68211399893005,2.239288360287541
