cluster_1,cluster_2,distance,n_members
10522.0,11066.0,70.19043631670004,523.0
10977.0,11039.0,71.6104649516235,155.0
10981.0,11016.0,72.08003961804081,45.0
11080.0,11081.0,73.63279945725719,769.0
10997.0,11038.0,76.42759117123843,140.0
11055.0,11082.0,76.77034694383526,944.0
11058.0,11087.0,80.96669322334492,243.0
11025.0,11076.0,83.11346429739778,330.0
11054.0,11089.0,83.45278463177743,333.0
11042.0,11061.0,84.71026133180489,838.0
10921.0,11023.0,85.01680104122265,64.0
11052.0,11088.0,87.02385254896528,1081.0
11063.0,11091.0,90.05552146274283,493.0
11074.0,11093.0,90.77641859143674,411.0
3024.0,10968.0,90.90232932271728,14.0
11068.0,11095.0,93.97816660750699,650.0
11045.0,11094.0,96.06821136686594,1187.0
10964.0,10966.0,98.00084202322083,33.0
10830.0,11084.0,98.39832716963585,161.0
11000.0,11086.0,98.79746097256582,809.0
10996.0,11098.0,99.05689271848178,674.0
11015.0,11103.0,99.52857236772223,743.0
11017.0,11047.0,99.8371238044541,63.0
11097.0,11101.0,100.7637547069253,175.0
10912.0,11102.0,101.51601504426476,845.0
10962.0,11104.0,101.83221345501998,754.0
11078.0,11105.0,101.89481196700055,146.0
10992.0,11108.0,102.68340272735774,803.0
11064.0,11096.0,102.74718028204475,542.0
9941.0,11111.0,102.96362480355474,544.0
1123.0,10684.0,103.11626811569393,8.0
11099.0,11106.0,103.86165131695964,1362.0
10887.0,11110.0,103.88990994796185,812.0
11113.0,11114.0,104.68457198229487,1370.0
11085.0,11115.0,105.26442691527228,857.0
9746.0,11092.0,105.49819003877143,841.0
11100.0,11112.0,105.68444346209552,577.0
11072.0,11107.0,108.8342059025175,862.0
11070.0,11120.0,109.36467692993985,870.0
11073.0,11117.0,109.79182484653724,877.0
11109.0,11116.0,112.1871954925564,1516.0
11121.0,11122.0,115.53031112126358,1747.0
11119.0,11124.0,133.7728893259427,2324.0
11118.0,11123.0,139.00403406391976,2357.0
10950.0,11090.0,148.90189715009032,346.0
5357.0,11125.0,149.54517486074198,2325.0
11008.0,11127.0,149.69729092107642,362.0
11126.0,11129.0,151.61869402288315,2719.0
11083.0,11130.0,169.9513001939992,3242.0
11128.0,11131.0,240.20237426620926,5567.0
