model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate
Majority-class baseline,0.7574007220216606,1.0,0.8619556285949055,,1049,336,0,0,0.0
Logistic Regression,0.9745547073791349,0.7302192564346998,0.8348773841961853,0.8557639929184258,766,20,283,316,0.2697807435653003
LR — test [ADS],0.0,0.0,0.0,0.5102912380995251,0,2,283,312,1.0
LR — test [L2],0.9770408163265306,1.0,0.9883870967741936,0.927159981011156,766,18,0,4,0.0
