model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate
Logistic Regression (tuned),0.9474327628361858,0.7387988560533841,0.8302088912694162,0.8580564256207728,775,43,274,293,0.2612011439466158
LR tuned — test [ADS],0.2647058823529412,0.03180212014134275,0.056782334384858045,0.522006031824627,9,25,274,289,0.9681978798586572
LR tuned — test [L2],0.9770408163265306,1.0,0.9883870967741936,0.9140458105862805,766,18,0,4,0.0
