model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate
Pooled — tabular (no automation_level),0.975796178343949,0.7302192564346998,0.8353326063249727,0.8555909255980753,766,19,283,317,0.2697807435653003
Pooled — tabular + narrative (no automation_level),0.9758269720101781,0.7311725452812202,0.8359673024523161,0.8609971514821372,767,19,282,317,0.2688274547187798
