model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate
Random Forest,0.9512953367875647,0.8751191611058151,0.9116186693147964,0.9576112737754778,918,47,131,289,0.12488083889418494
RF — test [ADS],0.8539325842696629,0.5371024734982333,0.6594360086767896,0.9220645495262316,152,26,131,288,0.4628975265017668
RF — test [L2],0.9733163913595934,1.0,0.9864777849323889,0.8272608592451934,766,21,0,1,0.0
