model,precision,recall,f1,roc_auc,TP,FP,FN,TN,fn_rate
XGBoost,0.9584199584199584,0.8789323164918971,0.9169567379413227,0.9591163920286894,922,40,127,296,0.12106768350810296
XGB — test [ADS],0.861878453038674,0.5512367491166078,0.6724137931034483,0.9137032702392474,156,25,127,289,0.44876325088339225
XGB — test [L2],0.9807938540332907,1.0,0.9903038138332256,0.8470507951578446,766,15,0,7,0.0
